"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CEBPA",617.720641836542,1.57896375069173,0.447318997389222,3.52983834781745,0.000415813644607796,0.0687764341658503
"CAV1",378.228353116978,1.79400155355986,0.511103451020274,3.5100556452488,0.000448012926983504,0.0733461163318709
"EPPK1",11.9009545372226,-2.02697329628159,0.579468959233013,-3.49798425607559,0.000468788805261682,0.0759721978951356
"LOC101928370",20.4821061448812,-1.87643452487946,0.537575891270372,-3.49054813534357,0.000482030770035576,0.0773370167445077
"GPR132",308.65987857032,-2.09053050281038,0.599400904785179,-3.48769994526387,0.000487194494691831,0.0773915690379776
"SMAD6",21.9550984602542,1.57980343703931,0.454133891835177,3.47871732421301,0.000503819732215783,0.079247880232059
"HEY1",433.908643746636,1.84812257782655,0.532084666649446,3.4733618419494,0.000513981905626738,0.0800614145036445
"SELPLG",2281.14452557293,-1.53994555868508,0.445097674020417,-3.45979241988679,0.000540591952050212,0.0833967046028231
"SAMD3",41.4461184370898,-2.06111933079004,0.596440396380972,-3.45570042421057,0.000548864968611132,0.083866567203781
"CD22",13.9220859915833,1.67779961360691,0.4862431311083,3.45053638039612,0.000559473756160726,0.0838896910639504
"NELL2",18.4438006063759,-2.93184408600581,0.849168577530772,-3.4526054820953,0.000555200357381264,0.0838896910639504
"MBOAT2",81.8453169891617,1.68083175817846,0.490814655592245,3.42457532395864,0.000615761123315028,0.0914747357635769
"CMBL",37.6873867596731,1.44183214137041,0.422544605246573,3.41226020511857,0.00064426582727564,0.0948312012184437
"SLC43A2",62.4534120873435,1.80876892190937,0.530627680650917,3.40873457579629,0.000652649467033937,0.0951918913553862
"ERN1",130.325330014105,-1.54243854427774,0.454441345163168,-3.39414219391488,0.000688439368207461,0.0995073984100946
"MS4A1",111.51780555313,1.54398027725968,0.456549147987247,3.38184899493626,0.000719997112279548,0.103139586334045
"LOC100129083",21.0279932219861,1.68145428667143,0.500452400012069,3.35986856418489,0.00077979561436869,0.110717175548064
"LIMS2",1019.56213623667,1.44233432434987,0.431374169154286,3.34358064873838,0.000827046508632668,0.116395913899145
"WNK2",112.027852431495,1.46421488037983,0.438783381314173,3.33698800532155,0.00084691603106894,0.118155833064957
"C2CD4A",11.5035825073871,-1.79936573163117,0.541070516822916,-3.32556603194123,0.000882391963825402,0.122043936789782
"GPR65",285.10042685445,-1.61992717237675,0.49043370044306,-3.3030502816452,0.000956392372709142,0.13114836946791
"LDHD",18.2392486415943,1.43633190878653,0.435390370776549,3.29895194104714,0.000970465242893317,0.131950375906613
"EMID1",117.333028321557,1.43141913060345,0.43515059800142,3.2894798655402,0.00100372737568248,0.13532606735672
"KIAA1324",591.949976473214,1.36686292641483,0.416070699732938,3.28516986966919,0.00101920903525753,0.136268248013932
"CXCL13",3761.28881450525,1.74878348858999,0.533639480812325,3.27708790572978,0.00104883709926675,0.139070598517651
"FAM43A",1281.53106278546,1.6521576877328,0.50526531748115,3.26988144757122,0.0010759256613676,0.141493043532638
"RPH3A",21.8936183620234,1.40585254410632,0.430568514243124,3.2651076369985,0.00109422486736769,0.142729624162985
"GBP1",598.804813539418,-1.55550190344679,0.477155405713515,-3.2599481946993,0.00111432565327953,0.143025926249734
"SLC7A10",269.673504395289,1.46869121212818,0.450329633414513,3.26136923522485,0.00110875558965397,0.143025926249734
"ACE",12.4189307085176,-1.6732581931192,0.513806455439062,-3.25659239078527,0.00112758227455739,0.143578809626975
"ALDH4A1",143.464030749557,1.54391705536444,0.475088782644182,3.24974428310331,0.00115508823985029,0.145029946871261
"TCEA3",14.7580840442564,-1.48686652921641,0.457601619782385,-3.24925975988349,0.00115705766638752,0.145029946871261
"LOC101927811",62.3729453053377,1.47769640327661,0.455628852965672,3.2432019913979,0.00118194384458044,0.147000829786424
"BCL6",578.927159760111,1.5039283545762,0.464182168846027,3.23995287952361,0.0011954945372153,0.14741793078622
"GRIP1",15.8213954299994,-1.74119635849681,0.5380975292702,-3.23583786169456,0.00121286255695469,0.14741793078622
"PTGIR",115.318524059342,-1.78383384527753,0.550905403493885,-3.2380039004234,0.00120369163874878,0.14741793078622
"CD300A",10.5206169445499,-1.66521550479164,0.517782471777409,-3.21605229137132,0.00129967148164924,0.156781422944213
"TEAD1",34.4673052011403,1.56265628116273,0.486784760113258,3.21015859411694,0.00132661755663102,0.157874466016827
